	mode
ammianus.rerum_gestarum.part.14.tess	prose
ammianus.rerum_gestarum.part.15.tess	prose
ammianus.rerum_gestarum.part.16.tess	prose
ammianus.rerum_gestarum.part.17.tess	prose
ammianus.rerum_gestarum.part.18.tess	prose
ammianus.rerum_gestarum.part.19.tess	prose
ammianus.rerum_gestarum.part.20.tess	prose
ammianus.rerum_gestarum.part.21.tess	prose
ammianus.rerum_gestarum.part.22.tess	prose
ammianus.rerum_gestarum.part.23.tess	prose
ammianus.rerum_gestarum.part.24.tess	prose
ammianus.rerum_gestarum.part.25.tess	prose
ammianus.rerum_gestarum.part.26.tess	prose
ammianus.rerum_gestarum.part.27.tess	prose
ammianus.rerum_gestarum.part.28.tess	prose
ammianus.rerum_gestarum.part.29.tess	prose
ammianus.rerum_gestarum.part.30.tess	prose
ammianus.rerum_gestarum.part.31.tess	prose
anonymous.laudes_domini.tess	verse
apuleius.apologia.tess	prose
apuleius.florida.tess	prose
apuleius.metamorphoses.part.1.tess	prose
apuleius.metamorphoses.part.10.tess	prose
apuleius.metamorphoses.part.11.tess	prose
apuleius.metamorphoses.part.2.tess	prose
apuleius.metamorphoses.part.3.tess	prose
apuleius.metamorphoses.part.4.tess	prose
apuleius.metamorphoses.part.5.tess	prose
apuleius.metamorphoses.part.6.tess	prose
apuleius.metamorphoses.part.7.tess	prose
apuleius.metamorphoses.part.8.tess	prose
apuleius.metamorphoses.part.9.tess	prose
aristotle.economics_book_3.tess	prose
augustine.de_doctrina_christiana.part.4.tess	prose
augustine.epistulae_selections.part.1.1-10.tess	prose
augustine.epistulae_selections.part.2.11-20.tess	prose
augustine.epistulae_selections.part.3.21-30.tess	prose
augustine.epistulae_selections.part.4.31-40.tess	prose
augustine.epistulae_selections.part.5.41-50.tess	prose
augustine.epistulae_selections.part.6.51-62.tess	prose
aurelius_victor.de_caesaribus.tess	prose
aurelius_victor.epitome_de_caesaribus.tess	prose
ausonius.cento_nuptialis.tess	verse
ausonius.commemoratio_professorum_burdigalensium.tess	prose
ausonius.cupido_cruciatus.tess	verse
ausonius.de_bissula.tess	verse
ausonius.de_herediolo.tess	verse
ausonius.de_xii_caesaribus.tess	verse
ausonius.eclogarum_liber.tess	verse
ausonius.ephemeris_id_est_totius_diei_negotium.tess	verse
ausonius.epicedion_in_patrem.tess	
ausonius.epigrammata_ausonii_de_diversis_rebus.tess	verse
ausonius.epistularum.tess	verse
ausonius.epitaphia_heroum_qui_bello_troico_interfuerunt.tess	verse
ausonius.gratiarum_actio.tess	prose
ausonius.griphus_ternarii_numeri.tess	verse
ausonius.libri_de_fastis_conclusio.tess	verse
ausonius.ludus_septem_sapientum.tess	verse
ausonius.mosella.tess	verse
ausonius.oratio_consulis_ausonii_versibus_rhopalicis.tess	verse
ausonius.ordo_urbium_nobilium.tess	verse
ausonius.parentalia.tess	
ausonius.praefatiunculae.tess	verse
ausonius.precationes.tess	verse
ausonius.technopaegnion.tess	
ausonius.versus_paschales_pro_augusto_dicti.tess	verse
bede.historiam_ecclesiasticam_gentis_anglorum.part.1.tess	prose
bede.historiam_ecclesiasticam_gentis_anglorum.part.2.tess	prose
bede.historiam_ecclesiasticam_gentis_anglorum.part.3.tess	prose
bede.historiam_ecclesiasticam_gentis_anglorum.part.4.tess	prose
bede.historiam_ecclesiasticam_gentis_anglorum.part.5.tess	prose
boethius.consolatio_philosophiae.part.1.tess	mixed
boethius.consolatio_philosophiae.part.2.tess	mixed
boethius.consolatio_philosophiae.part.3.tess	mixed
boethius.consolatio_philosophiae.part.4.tess	mixed
boethius.consolatio_philosophiae.part.5.tess	mixed
boethius.de_fide_catholica.tess	mixed
boethius.liber_de_persona_et_duabus_naturis_contra_eutychen_et_nestorium.tess	prose
boethius.quomodo_substantiae_in_eo_quod_sint_bonae_sint_cum_non_sint_substantialia_bona.tess	prose
boethius.quomodo_trinitas.tess	prose
boethius.utrum_pater.tess	prose
caesar.de_bello_civili.part.1.tess	prose
caesar.de_bello_civili.part.2.tess	prose
caesar.de_bello_civili.part.3.tess	prose
caesar.de_bello_gallico.part.1.tess	prose
caesar.de_bello_gallico.part.2.tess	prose
caesar.de_bello_gallico.part.3.tess	prose
caesar.de_bello_gallico.part.4.tess	prose
caesar.de_bello_gallico.part.5.tess	prose
caesar.de_bello_gallico.part.6.tess	prose
caesar.de_bello_gallico.part.7.tess	prose
caesar.de_bello_gallico.part.8.tess	prose
caesar_augustus.res_gestae_divi_augusti.tess	prose
catullus.carmina.tess	verse
celsus.de_medicina.part.1.tess	prose
celsus.de_medicina.part.2.tess	prose
celsus.de_medicina.part.3.tess	prose
celsus.de_medicina.part.4.tess	prose
celsus.de_medicina.part.5.tess	prose
celsus.de_medicina.part.6.tess	prose
celsus.de_medicina.part.7.tess	prose
celsus.de_medicina.part.8.tess	prose
cicero.academica.tess	prose
cicero.brutus.tess	prose
cicero.cum_populo_gratias_egit.tess	prose
cicero.de_amicitia.tess	prose
cicero.de_divinatione.tess	prose
cicero.de_domo_sua.tess	prose
cicero.de_fato.tess	prose
cicero.de_finibus_bonorum_et_malorum.part.1.tess	prose
cicero.de_finibus_bonorum_et_malorum.part.2.tess	prose
cicero.de_finibus_bonorum_et_malorum.part.3.tess	prose
cicero.de_finibus_bonorum_et_malorum.part.4.tess	prose
cicero.de_finibus_bonorum_et_malorum.part.5.tess	prose
cicero.de_haruspicum_responso.tess	prose
cicero.de_imperio_cn_pompei.tess	prose
cicero.de_inventione.part.1.tess	prose
cicero.de_inventione.part.2.tess	prose
cicero.de_lege_agraria_contra_rullum.tess	prose
cicero.de_natura_deorum.part.1.tess	prose
cicero.de_natura_deorum.part.2.tess	prose
cicero.de_natura_deorum.part.3.tess	prose
cicero.de_officiis.part.1.tess	prose
cicero.de_officiis.part.2.tess	prose
cicero.de_officiis.part.3.tess	prose
cicero.de_optimo_genere_oratorum.tess	prose
cicero.de_oratore.part.1.tess	prose
cicero.de_oratore.part.2.tess	prose
cicero.de_oratore.part.3.tess	prose
cicero.de_partitione_oratoria.tess	prose
cicero.de_provinciis_consularibus.tess	prose
cicero.de_republica.tess	prose
cicero.de_senectute.tess	prose
cicero.divinatio_in_c_verrem.part.1.tess	prose
cicero.divinatio_in_c_verrem.part.2.tess	prose
cicero.divinatio_in_c_verrem.part.3.tess	prose
cicero.divinatio_in_c_verrem.part.4.tess	prose
cicero.divinatio_in_c_verrem.part.5.tess	prose
cicero.divinatio_in_c_verrem.part.6.tess	prose
cicero.divinatio_in_q_caecilium.tess	prose
cicero.epistulae_ad_familiares.part.1.ad_lentulum.tess	prose
cicero.epistulae_ad_familiares.part.10.ad_plancum_et_ceteros.tess	prose
cicero.epistulae_ad_familiares.part.11.at_brutum_et_ceteros.tess	prose
cicero.epistulae_ad_familiares.part.12.ad_cassium_et_ceteros.tess	prose
cicero.epistulae_ad_familiares.part.13.ad_memmium_et_ceteros.tess	prose
cicero.epistulae_ad_familiares.part.14.ad_terentiam_uxorem.tess	prose
cicero.epistulae_ad_familiares.part.15.ad_senatum_et_ceteros.tess	prose
cicero.epistulae_ad_familiares.part.16.ad_tironem.tess	prose
cicero.epistulae_ad_familiares.part.2.ad_curionem_et_ceteros.tess	prose
cicero.epistulae_ad_familiares.part.3.ad_claudium_pulchrum.tess	prose
cicero.epistulae_ad_familiares.part.4.ad_sulpicium_et_ceteros.tess	prose
cicero.epistulae_ad_familiares.part.5.ad_metellum_et_ceteros.tess	prose
cicero.epistulae_ad_familiares.part.6.ad_torquatum_et_ceteros.tess	prose
cicero.epistulae_ad_familiares.part.7.ad_marium_et_ceteros.tess	prose
cicero.epistulae_ad_familiares.part.8.caeli_epistulae_ad_ciceronem.tess	prose
cicero.epistulae_ad_familiares.part.9.ad_varronem_et_ceteros.tess	prose
cicero.in_catilinam.tess	prose
cicero.in_l_pisonem.tess	prose
cicero.in_vatinium.tess	prose
cicero.letters_to_atticus.part.1.tess	prose
cicero.letters_to_atticus.part.10.tess	prose
cicero.letters_to_atticus.part.11.tess	prose
cicero.letters_to_atticus.part.12.tess	prose
cicero.letters_to_atticus.part.13.tess	prose
cicero.letters_to_atticus.part.14.tess	prose
cicero.letters_to_atticus.part.15.tess	prose
cicero.letters_to_atticus.part.16.tess	prose
cicero.letters_to_atticus.part.2.tess	prose
cicero.letters_to_atticus.part.3.tess	prose
cicero.letters_to_atticus.part.4.tess	prose
cicero.letters_to_atticus.part.5.tess	prose
cicero.letters_to_atticus.part.6.tess	prose
cicero.letters_to_atticus.part.7.tess	prose
cicero.letters_to_atticus.part.8.tess	prose
cicero.letters_to_atticus.part.9.tess	prose
cicero.letters_to_brutus.tess	prose
cicero.letters_to_quintus.tess	prose
cicero.lucullus.tess	prose
cicero.orator.tess	prose
cicero.paradoxa_stoicorum_ad_m_brutum.tess	prose
cicero.philippicae.part.1.tess	prose
cicero.philippicae.part.10.tess	prose
cicero.philippicae.part.11.tess	prose
cicero.philippicae.part.12.tess	prose
cicero.philippicae.part.13.tess	prose
cicero.philippicae.part.14.tess	prose
cicero.philippicae.part.2.tess	prose
cicero.philippicae.part.3.tess	prose
cicero.philippicae.part.4.tess	prose
cicero.philippicae.part.5.tess	prose
cicero.philippicae.part.6.tess	prose
cicero.philippicae.part.7.tess	prose
cicero.philippicae.part.8.tess	prose
cicero.philippicae.part.9.tess	prose
cicero.post_reditum_in_senatu.tess	prose
cicero.pro_a_caecina.tess	prose
cicero.pro_a_cluentio.tess	prose
cicero.pro_archia.tess	prose
cicero.pro_balbo.tess	prose
cicero.pro_c_rabirio.tess	prose
cicero.pro_c_rabirio_postumo.tess	prose
cicero.pro_fonteio.tess	prose
cicero.pro_l_flacco.tess	prose
cicero.pro_ligario.tess	prose
cicero.pro_m_caelio.tess	prose
cicero.pro_marcello.tess	prose
cicero.pro_milone.tess	prose
cicero.pro_murena.tess	prose
cicero.pro_plancio.tess	prose
cicero.pro_publio_quinctio.tess	prose
cicero.pro_q_roscio_comoedo.tess	prose
cicero.pro_rege_deiotaro.tess	prose
cicero.pro_s_roscio.tess	prose
cicero.pro_scauro.tess	prose
cicero.pro_sestio.tess	prose
cicero.pro_sulla.tess	prose
cicero.pro_tullio.tess	prose
cicero.timaeus.tess	prose
cicero.topica.tess	prose
cicero.tusculanae_disputationes.part.1.tess	prose
cicero.tusculanae_disputationes.part.2.tess	prose
cicero.tusculanae_disputationes.part.3.tess	prose
cicero.tusculanae_disputationes.part.4.tess	prose
cicero.tusculanae_disputationes.part.5.tess	prose
claudian.carmina_minora.tess	verse
claudian.de_bello_gildonico.tess	verse
claudian.de_bello_gothico.tess	verse
claudian.de_consulatu_stilichonis.part.1.tess	verse
claudian.de_consulatu_stilichonis.part.2.tess	verse
claudian.de_consulatu_stilichonis.part.3.tess	verse
claudian.de_raptu_proserpinae.part.1.tess	
claudian.de_raptu_proserpinae.part.2.tess	
claudian.de_raptu_proserpinae.part.3.tess	
claudian.epithalamium_de_nuptiis_honorii_augusti.tess	verse
claudian.in_consulatum_olybrii_et_probini.tess	verse
claudian.in_eutropium.part.1.tess	verse
claudian.in_eutropium.part.2.tess	verse
claudian.in_rufinum.part.1.tess	verse
claudian.in_rufinum.part.2.tess	verse
claudian.panegyricus_de_quarto_consulatu_honorii_augusti.tess	verse
claudian.panegyricus_de_sexto_consulatu_honorii_augusti.tess	verse
claudian.panegyricus_de_tertio_consulatu_honorii_augusti.tess	verse
claudian.panegyricus_dictus_manlio_theodoro_consuli.tess	verse
columella.de_re_rustica.part.1.tess	prose
columella.de_re_rustica.part.2.tess	prose
columella.de_re_rustica.part.3.tess	prose
columella.de_re_rustica.part.4.tess	prose
columella.de_re_rustica.part.5.tess	prose
columella.de_re_rustica.part.6.tess	prose
columella.de_re_rustica.part.7.tess	prose
columella.de_re_rustica.part.8.tess	prose
columella.de_re_rustica.part.9.tess	prose
corippus.johannis.part.1.tess	verse
corippus.johannis.part.2.tess	verse
corippus.johannis.part.3.tess	verse
corippus.johannis.part.4.tess	verse
corippus.johannis.part.5.tess	verse
corippus.johannis.part.6.tess	verse
corippus.johannis.part.7.tess	verse
corippus.johannis.part.8.tess	verse
curtius_rufus.historiae_alexandri_magni.part.10.tess	prose
curtius_rufus.historiae_alexandri_magni.part.3.tess	prose
curtius_rufus.historiae_alexandri_magni.part.4.tess	prose
curtius_rufus.historiae_alexandri_magni.part.5.tess	prose
curtius_rufus.historiae_alexandri_magni.part.6.tess	prose
curtius_rufus.historiae_alexandri_magni.part.7.tess	prose
curtius_rufus.historiae_alexandri_magni.part.8.tess	prose
curtius_rufus.historiae_alexandri_magni.part.9.tess	prose
dracontius.de_laudibus_dei.part.1.tess	verse
dracontius.de_laudibus_dei.part.2.tess	verse
dracontius.de_laudibus_dei.part.3.tess	verse
dracontius.orestes.tess	verse
dracontius.romulea.part.1.tess	verse
dracontius.romulea.part.10.tess	verse
dracontius.romulea.part.2.tess	verse
dracontius.romulea.part.3.tess	verse
dracontius.romulea.part.4.tess	verse
dracontius.romulea.part.5.tess	verse
dracontius.romulea.part.6.tess	verse
dracontius.romulea.part.7.tess	verse
dracontius.romulea.part.8.tess	verse
dracontius.romulea.part.9.tess	verse
dracontius.romulea.part.fragments.tess	verse
dracontius.satisfactio.tess	verse
ennius.annales.tess	verse
ennodius.opera.tess	verse
eutropius.brevarium.tess	prose
florus.epitome_bellorum_omnium_annorum.tess	prose
gellius.attic_nights.part.1.tess	prose
gellius.attic_nights.part.10.tess	prose
gellius.attic_nights.part.11.tess	prose
gellius.attic_nights.part.12.tess	prose
gellius.attic_nights.part.13.tess	prose
gellius.attic_nights.part.14.tess	prose
gellius.attic_nights.part.15.tess	prose
gellius.attic_nights.part.16.tess	prose
gellius.attic_nights.part.17.tess	prose
gellius.attic_nights.part.18.tess	prose
gellius.attic_nights.part.19.tess	prose
gellius.attic_nights.part.2.tess	prose
gellius.attic_nights.part.20.tess	prose
gellius.attic_nights.part.3.tess	prose
gellius.attic_nights.part.4.tess	prose
gellius.attic_nights.part.5.tess	prose
gellius.attic_nights.part.6.tess	prose
gellius.attic_nights.part.7.tess	prose
gellius.attic_nights.part.8.tess	prose
gellius.attic_nights.part.9.tess	prose
gellius.attic_nights.part.pr.tess	prose
glass.washingtonii_vita.tess	prose
horace.ars_poetica.tess	verse
horace.carmen_saeculare.tess	verse
horace.epistles.tess	verse
horace.epodes.tess	verse
horace.odes.part.1.tess	verse
horace.odes.part.2.tess	verse
horace.odes.part.3.tess	verse
horace.odes.part.4.tess	verse
horace.satires.part.1.tess	verse
horace.satires.part.2.tess	verse
italicus.ilias_latina.tess	verse
jerome.epistulae.tess	prose
jerome.vulgate.part.1.genesis.tess	prose
jerome.vulgate.part.10.2_samuel.tess	prose
jerome.vulgate.part.11.1_kings.tess	prose
jerome.vulgate.part.12.1_chronicles.tess	prose
jerome.vulgate.part.13.2_kings.tess	prose
jerome.vulgate.part.14.2_chronicles.tess	prose
jerome.vulgate.part.15.ezra.tess	prose
jerome.vulgate.part.16.nehemiah.tess	prose
jerome.vulgate.part.17.tobias.tess	prose
jerome.vulgate.part.18.judith.tess	prose
jerome.vulgate.part.19.esther.tess	prose
jerome.vulgate.part.2.exodus.tess	prose
jerome.vulgate.part.20.job.tess	prose
jerome.vulgate.part.21.psalms.tess	prose
jerome.vulgate.part.21a.old_latin_psalms.tess	prose
jerome.vulgate.part.21b.psalm.tess	prose
jerome.vulgate.part.22.proverbs.tess	prose
jerome.vulgate.part.23.ecclesiastes.tess	prose
jerome.vulgate.part.24.song_of_songs.tess	prose
jerome.vulgate.part.25.wisdom.tess	prose
jerome.vulgate.part.26.sirach.tess	prose
jerome.vulgate.part.27.isaiah.tess	prose
jerome.vulgate.part.28.jeremiah.tess	prose
jerome.vulgate.part.29.lamentations.tess	prose
jerome.vulgate.part.3.leviticus.tess	prose
jerome.vulgate.part.30.baruch.tess	prose
jerome.vulgate.part.31.ezekiel.tess	prose
jerome.vulgate.part.32.daniel.tess	prose
jerome.vulgate.part.33.hosea.tess	prose
jerome.vulgate.part.34.joel.tess	prose
jerome.vulgate.part.35.amos.tess	prose
jerome.vulgate.part.36.obadiah.tess	prose
jerome.vulgate.part.37.jonah.tess	prose
jerome.vulgate.part.38.micah.tess	prose
jerome.vulgate.part.39.nahum.tess	prose
jerome.vulgate.part.4.numbers.tess	prose
jerome.vulgate.part.40.habbakuk.tess	prose
jerome.vulgate.part.41.zephoniah.tess	prose
jerome.vulgate.part.42.haggaiah.tess	prose
jerome.vulgate.part.43.zechariah.tess	prose
jerome.vulgate.part.44.malachi.tess	prose
jerome.vulgate.part.45.1_maccabees.tess	prose
jerome.vulgate.part.46.2_maccabees.tess	prose
jerome.vulgate.part.47.matthew.tess	prose
